Vintage,Location,Variety,R1_WS,R2_WE,R3_WA,Avg_Rank,Descriptions_WS_WA,Notes
2018,Washington,Merlot,91.5,,,91.5,"Cool autumn weather salvaged an otherwise hot year, making for full-bodied yet well-balance wines",average of 90 and 93
2017,Washington,Merlot,90,92,,91,"A cool, wet spring led to a hot summer, but moderate weather near harvest helped build expression",*WA ranks are from columbia valley
2016,Washington,Merlot,91,90,,90.5,"A warm spring gave way to a moderate summer, promising balanced but structured wines",
2015,Washington,Merlot,91,90,,90.5,"Hot, sunny gowing season yielded full-bodied reds with ripe falvors and formidable tannins",
2014,Washington,Merlot,92,93,,92.5,"hot growing season produced wines of generosity, with ripe flavors; best achieve balance",
2013,Washington,Merlot,92,91,,91.5,Hot summer and cool harvest led to ripe flavors and moderate alcohold; some elevated tannis. Syrah better than Cabernet,
2012,Washington,Merlot,95,95,,95,Ideal conditions produced powerful wines with elegance,
2011,Washington,Merlot,89,89,,89,Another cool year; moderate alcohols with crisp balance,
2010,Washington,Merlot,91,92,,91.5,Cool year produced crisp reds with lovely ripe flavors,
2009,Washington,Merlot,92,90,,91,Late year with early frost made fine Merlot and Syrah,
2008,Washington,Merlot,95,92,,93.5,Cool summer and warm autumn; many great wines,
2007,Washington,Merlot,96,93,,94.5,Hot summer and cool autumn made rich; balanced wines,
2006,Washington,Merlot,94,92,,93,Ripe but balanced; similar to 2005,
2005,Washington,Merlot,93,95,,94,Ripe flavors but non excessively heavy,
2004,Washington,Merlot,91,89,,90,Walla Walla wiped out by freeze; rest of state solid,
2003,Washington,Merlot,92,92,,92,"Rive vintage, broad and generous",
2002,Washington,Merlot,90,94,,92,Ripe but tannic,
2001,Washington,Merlot,91,92,,91.5,Hot vitage; ripe wines,
2000,Washington,Merlot,90,88,,89,Warm vintage with balanced reds,
1999,Washington,Merlot,,96,,96,,
1998,Washington,Merlot,,91,,91,,
1997,Washington,Merlot,,87,,87,,
1996,Washington,Merlot,,86,,86,,
1995,Washington,Merlot,,89,,89,,
1994,Washington,Merlot,,90,,90,,
1993,Washington,Merlot,,87,,87,,
2018,Washington,Cabernet,91.5,92,,91.75,"Cool autumn weather salvaged an otherwise hot year, making for full-bodied yet well-balance wines",average of 90 and 93
