"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_phen_1","var_prcp_avg_phen_2","var_prcp_avg_phen_3","var_gdd_avg_phen_1","var_gdd_avg_phen_2","var_gdd_avg_phen_3","Descriptions_WS_WA","Notes"
1982,"Washington","Syrah",NA,NA,78,78,59,46,25.05,53.225,592.375,599.775,NA,NA
1983,"Washington","Syrah",NA,NA,92,92,35.2,53.05,18.75,47.95,566.925,597.2,NA,NA
1984,"Washington","Syrah",NA,NA,72,72,46.4,64.85,16.3,45.225,494.0375,613.875,NA,NA
1985,"Washington","Syrah",NA,NA,86,86,21.35,32.85,47.5,96.775,731.725,498.625,NA,NA
1986,"Washington","Syrah",NA,NA,78,78,15.25,33.3,3.2,42.1125,691.925,618.375,NA,NA
1987,"Washington","Syrah",NA,NA,90,90,40.45,54.6,18.6,205.05,591.375,607.725,NA,NA
1988,"Washington","Syrah",NA,NA,88,88,49.8,58.85,0.25,130.4625,572.475,627.5625,NA,NA
1989,"Washington","Syrah",NA,NA,92,92,38.6,29.3,23.6,137.025,580.125,527.7125,NA,NA
1990,"Washington","Syrah",NA,NA,87,87,55.5,46.55,28.1,117.325,625.75,654.575,NA,NA
1991,"Washington","Syrah",NA,NA,85,85,53.225,82.525,18.2,56.5,496.3125,646.95,NA,NA
1992,"Washington","Syrah",NA,NA,89,89,53.45,53.5,31.65,147.2375,726.1125,587.4,NA,NA
1993,"Washington","Syrah",NA,87,87,87,79.95,67.65,20.2,109.675,559.2875,553.3875,NA,NA
1994,"Washington","Syrah",NA,89,90,89.5,34.8,44,9.05,162.075,627.2,609.475,NA,NA
1995,"Washington","Syrah",NA,89,87,88,53.15,70.5,42.55,67.925,623.0625,392.45,NA,NA
1996,"Washington","Syrah",NA,88,88,88,76.1,46.75,6,82.65,581.0625,652.0875,NA,NA
1997,"Washington","Syrah",NA,87,88,87.5,40.1,57.1,14.1,121.1375,511.475,635.55,NA,NA
1998,"Washington","Syrah",NA,89,90,89.5,36.75,60.15,15.9,108.9625,614.5375,736.825,NA,NA
1999,"Washington","Syrah",NA,92,90,91,22.85,18.9,26.55,46.6,553.5,603.9625,NA,NA
2000,"Washington","Syrah",90,88,89,89,31.725,79.2,25.45,115.075,596.125,521.3875,"Warm vintage with balanced reds",NA
2001,"Washington","Syrah",91,93,92,92,66.85,28.4,10.3,98.425,593.9875,634.1625,"Hot vitage; ripe wines",NA
2002,"Washington","Syrah",90,94,89,91,27.95,55,4.6,48.2375,689,573.1,"Ripe but tannic",NA
2003,"Washington","Syrah",92,91,90,91,66.225,2.9,26.1,65.8375,694.275,665.8625,"Rive vintage, broad and generous",NA
2004,"Washington","Syrah",91,90,91,90.66666667,43.5,64.9,33.05,102.45,633.6125,639.075,"Walla Walla wiped out by freeze; rest of state solid",NA
2005,"Washington","Syrah",93,93,94,93.33333333,45.6,40.75,NA,120.15,349.725,NA,"Ripe flavors but non excessively heavy",NA
2007,"Washington","Syrah",96,89,95,93.33333333,20.1,46.45,13,75.3,443.2875,362.225,"Hot summer and cool autumn made rich; balanced wines",NA
2008,"Washington","Syrah",95,90,91,92,16.05,50.275,5.1,38.1,403.25,285.2,"Cool summer and warm autumn; many great wines",NA
2009,"Washington","Syrah",92,91,92,91.66666667,62.7,22.6,21.05,51.725,655.4375,639.8625,"Late year with early frost made fine Merlot and Syrah",NA
2010,"Washington","Syrah",91,89,92,90.66666667,38.95,120.8,17.55,67.85,498.8875,550.4125,"Cool year produced crisp reds with lovely ripe flavors",NA
2011,"Washington","Syrah",89,91,87,89,100.775,77.825,0.875,31.05,394.1,613.425,"Another cool year; moderate alcohols with crisp balance",NA
