"","dailyMinTempNapa","date"
"1",5.87576907984607,"X1980.01.01"
"2",2.93187452377678,"X1980.01.02"
"3",1.44529622472652,"X1980.01.03"
"4",4.88664593241411,"X1980.01.04"
"5",6.78814909931089,"X1980.01.05"
"6",6.46301229295569,"X1980.01.06"
"7",4.45623623957786,"X1980.01.07"
"8",4.70236332526948,"X1980.01.08"
"9",5.32810683752427,"X1980.01.09"
"10",1.59811564740117,"X1980.01.10"
"11",2.61928582624878,"X1980.01.11"
"12",8.27564037149751,"X1980.01.12"
"13",11.0870504997044,"X1980.01.13"
"14",10.4220890903529,"X1980.01.14"
"15",5.36269220457311,"X1980.01.15"
"16",6.88692388856134,"X1980.01.16"
"17",8.64220944001421,"X1980.01.17"
"18",0.249958136900282,"X1980.01.18"
"19",-0.86000846472849,"X1980.01.19"
"20",-0.366567297063929,"X1980.01.20"
"21",-0.002682872628261,"X1980.01.21"
"22",1.68274513191753,"X1980.01.22"
"23",1.89551940116082,"X1980.01.23"
"24",1.87552369077338,"X1980.01.24"
"25",2.2200017926367,"X1980.01.25"
"26",0.193312958578163,"X1980.01.26"
"27",0.631182605262691,"X1980.01.27"
"28",-3.53590901521521,"X1980.01.28"
"29",-3.35921686652967,"X1980.01.29"
"30",-5.13504482830312,"X1980.01.30"
"31",-0.0389895426150607,"X1980.01.31"
"32",2.39903749801625,"X1980.02.01"
"33",4.44708144498111,"X1980.02.02"
"34",7.36767506330063,"X1980.02.03"
"35",6.14312170037692,"X1980.02.04"
"36",5.48480346918091,"X1980.02.05"
"37",4.91061810844216,"X1980.02.06"
"38",3.07760032319502,"X1980.02.07"
"39",3.06176456350136,"X1980.02.08"
"40",0.4912810725296,"X1980.02.09"
"41",2.41421943786909,"X1980.02.10"
"42",2.61815322025242,"X1980.02.11"
"43",2.45041839305201,"X1980.02.12"
"44",-0.161553691926751,"X1980.02.13"
"45",4.91988079863534,"X1980.02.14"
"46",8.00505925433766,"X1980.02.15"
"47",9.55548502931449,"X1980.02.16"
"48",10.2036535105658,"X1980.02.17"
