"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_phen_1","var_prcp_avg_phen_2","var_prcp_avg_phen_3","var_gdd_avg_phen_1","var_gdd_avg_phen_2","var_gdd_avg_phen_3","Descriptions_WS_WA","Notes"
1995,"Sonoma","Cabernet",95,NA,NA,95,91.3,35.75,0,209.2,666.025,745.65,NA,NA
1996,"Sonoma","Cabernet",93,NA,NA,93,101,85.25,0.4,291.3,686.375,728.4125,NA,NA
1997,"Sonoma","Cabernet",96,NA,NA,96,15.7,21.05,21.6,340.725,755.85,721.25,NA,NA
1998,"Sonoma","Cabernet",85,NA,NA,85,107.725,52.65,0,189.925,448.9125,705,NA,NA
1999,"Sonoma","Cabernet",93,NA,NA,93,109.85,2.9,0.5,211.9625,605.425,629.2875,NA,NA
2000,"Sonoma","Cabernet",85,NA,NA,85,79.45,4.2,1.4,278.85,705.675,715.075,NA,NA
2001,"Sonoma","Cabernet",98,NA,NA,98,22.15,3.3,0,302.8875,761.35,650.275,NA,NA
2002,"Sonoma","Cabernet",93,NA,NA,93,5.48,34.85,0,271.325,699.175,694.7375,NA,NA
2003,"Sonoma","Cabernet",90,NA,NA,90,188.45,0,10.8,183.3875,755.075,753.9375,NA,NA
2004,"Sonoma","Cabernet",90,NA,NA,90,33.8833333333333,0.65,2.2,331.9125,673.133333333333,744.847916666667,NA,NA
2005,"Sonoma","Cabernet",95,NA,NA,95,123.99,57.7,0,225.8,683.525,652.9875,NA,NA
2006,"Sonoma","Cabernet",90,NA,NA,90,241.4,23.1,0,255.675,738.783333333333,693.375,NA,NA
2007,"Sonoma","Cabernet",95,NA,NA,95,50.15,1.55,4.85,308.5375,701.1,709.1125,NA,NA
2008,"Sonoma","Cabernet",92,NA,NA,92,7.2,4.2,0,261.275,720.825,718.56,NA,NA
2009,"Sonoma","Cabernet",89,NA,NA,89,70.8,0.65,1.95,299.0125,681.085,600.075,NA,NA
2010,"Sonoma","Cabernet",89,NA,NA,89,142.5,36.05,0,203.95,618.7,621.3375,NA,NA
2011,"Sonoma","Cabernet",89,NA,NA,89,64.7833333333333,122.6575,0,254.575,587.35,675.05,NA,NA
2012,"Sonoma","Cabernet",95,NA,NA,95,156.345,4.11666666666667,0,287.45,656.55,661.575,NA,NA
2013,"Sonoma","Cabernet",95,NA,NA,95,40.15,22.35,13.6,399.65,726,693.8,NA,NA
2014,"Sonoma","Cabernet",94,NA,NA,94,112,0,4.35,337.6625,737.35,761.5875,NA,NA
