"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","prcp_avg_phen_gen_1","prcp_avg_phen_gen_2","prcp_avg_phen_gen_3","prcp_avg_phen_cab_1","prcp_avg_phen_cab_2","prcp_avg_phen_cab_3","prcp_avg_phen_chard_1","prcp_avg_phen_chard_2","prcp_avg_phen_chard_3","prcp_avg_phen_mer_1","prcp_avg_phen_mer_2","prcp_avg_phen_mer_3","gdd_avg_phen_gen_1","gdd_avg_phen_gen_2","gdd_avg_phen_gen_3","gdd_avg_phen_cab_1","gdd_avg_phen_cab_2","gdd_avg_phen_cab_3","gdd_avg_phen_chard_1","gdd_avg_phen_chard_2","gdd_avg_phen_chard_3","gdd_avg_phen_mer_1","gdd_avg_phen_mer_2","gdd_avg_phen_mer_3","Descriptions_WS_WA","Notes"
1994,"North Coast","Cabernet ",NA,NA,95,73.25,10.65,0,78.2875,10.65,0,53.8125,39.4,0,75.25,10.8,0,245.9625,637.025,584.875,270.7875,626.625,679.9,211.7875,586.8,704.775,251.6125,608.725,619.85,"E",NA
1995,"North Coast","Cabernet ",NA,NA,94,91.3,35.75,0,91.3,35.75,0,174.5,54.55,0,90.25,36.8,0,190.575,676.025,646.45,209.2,666.025,745.65,189.25,553.025,806.075,196.675,635.175,690.925,"T",NA
1996,"North Coast","Cabernet ",NA,NA,90,100.5,85.25,0.4,101,85.25,0.4,87.4,98.85,0.4,86.9,98.85,0.4,281.075,698.875,636.2125,291.3,686.375,728.4125,250.65,624.625,793.0875,276.05,664.4,681.1125,"T",NA
1997,"North Coast","Cabernet ",NA,NA,94,15.7,21.05,21.6,15.7,21.05,21.6,33.1,21.05,21.6,15.7,21.05,21.6,303.925,765.725,622.75,340.725,755.85,721.25,295.125,720.2,767.9,309.475,736.275,663.025,"I",NA
1998,"North Coast","Cabernet ",NA,NA,85,88.275,52.65,0,107.725,52.65,0,121.025,70.5,0,99.575,52.65,0,182.55,452.9375,630.25,189.925,448.9125,705,203.875,409.2625,709.65,183.4,406.8625,679.925,"R",NA
1999,"North Coast","Cabernet ",NA,NA,88,76.4,2.9,0.25,109.85,2.9,0.5,128.4,2.9,0.25,85.55,2.9,0.25,204.7375,613.175,551.8875,211.9625,605.425,629.2875,168.8375,530.3,690.4375,206.2625,586.425,581.4125,"T",NA
2000,"North Coast","Cabernet ",NA,NA,78,79.45,4.2,0.5,79.45,4.2,1.4,42.7,40.95,0.5,68.25,15.4,0.5,251.625,717.6,602.225,278.85,705.675,715.075,288.575,624.3,736.525,260.075,684.3,640.125,"C",NA
2001,"North Coast","Cabernet ",NA,NA,96,14.25,3.3,0,22.15,3.3,0,22.15,3.3,0,17.45,3.3,0,258.6875,771.9,574.5,302.8875,761.35,650.275,250.8875,755.575,696.05,270.8875,745.375,608.8,"T",NA
2002,"North Coast","Cabernet ",NA,NA,95,5.48,34.85,0,5.48,34.85,0,30.98,34.85,0,5.48,34.85,0,235.275,708.5,581.95,271.325,699.175,694.7375,220.7,632.825,723.725,243.3,679.75,618.05,"E",NA
2003,"North Coast","Cabernet ",NA,NA,92,186.65,0,10.8,188.45,0,10.8,199.65,2.4,10.8,188.05,0,10.8,137.5875,767.975,639.8,183.3875,755.075,753.9375,165.925,628.1,826.7625,153.5375,717.95,696.075,"I",NA
2004,"North Coast","Cabernet ",NA,NA,91,15.2,0.65,0,33.8833333333333,0.65,2.2,24.2333333333333,10.3,0,22.8,0.65,0,302.025,683.133333333333,657.197916666667,331.9125,673.133333333333,744.847916666667,338.7875,596.358333333333,812.822916666667,310.375,641.308333333333,706.797916666667,"R",NA
