"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","prcp_avg_year_gen","prcp_avg_year_cab","prcp_avg_year_chard","prcp_avg_year_mer","gdd_avg_year_gen","gdd_avg_year_cab","gdd_avg_year_chard","gdd_avg_year_mer","Descriptions_WS_WA","Notes"
1990,"North Coast","Zinfandel",NA,NA,91,91,48.85,56.05,48.85,48.85,1460.45,1577.6,1531.85,1489.95,"C",NA
1991,"North Coast","Zinfandel",NA,NA,91,91,27.5,64.7,170.5,64.7,1350.8,1451.225,1367.55,1367.275,"C",NA
1992,"North Coast","Zinfandel",NA,NA,90,90,50.325,52.3,89.6625,52.3,1435.2875,1541.5625,1488.6875,1465.6375,"C",NA
1993,"North Coast","Zinfandel",NA,NA,90,90,110.2,124.8875,178.3375,124.8875,1557.51875,1632.71875,1610.11875,1572.61875,"C",NA
1994,"North Coast","Zinfandel",NA,NA,92,92,83.9,88.9375,93.2125,88.9375,1467.8625,1577.3125,1503.3625,1492.6875,"C",NA
1994,"North Coast","Cabernet ",NA,NA,95,95,83.9,88.9375,93.2125,88.9375,1467.8625,1577.3125,1503.3625,1492.6875,"E",NA
1995,"North Coast","Zinfandel",NA,NA,87,87,127.05,127.05,229.05,127.05,1513.05,1620.875,1548.35,1531.675,"C",NA
1995,"North Coast","Cabernet ",NA,NA,94,94,127.05,127.05,229.05,127.05,1513.05,1620.875,1548.35,1531.675,"T",NA
1996,"North Coast","Zinfandel",NA,NA,89,89,186.15,186.65,186.65,186.65,1616.1625,1706.0875,1668.3625,1626.3875,"C",NA
1996,"North Coast","Cabernet ",NA,NA,90,90,186.15,186.65,186.65,186.65,1616.1625,1706.0875,1668.3625,1626.3875,"T",NA
1997,"North Coast","Zinfandel",NA,NA,85,85,58.35,58.35,75.75,58.35,1692.4,1817.825,1783.225,1729.2,"C",NA
1997,"North Coast","Cabernet ",NA,NA,94,94,58.35,58.35,75.75,58.35,1692.4,1817.825,1783.225,1729.2,"I",NA
1998,"North Coast","Zinfandel",NA,NA,86,86,140.925,160.375,191.525,160.375,1265.7375,1343.8375,1322.7875,1273.1125,"C",NA
1998,"North Coast","Cabernet ",NA,NA,85,85,140.925,160.375,191.525,160.375,1265.7375,1343.8375,1322.7875,1273.1125,"R",NA
1999,"North Coast","Cabernet ",NA,NA,88,88,79.55,113.25,131.55,113,1369.8,1446.675,1389.575,1377.025,"T",NA
1999,"North Coast","Zinfandel",NA,NA,87,87,79.55,113.25,131.55,113,1369.8,1446.675,1389.575,1377.025,"C",NA
