"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_year","var_gdd_avg_year","Descriptions_WS_WA","Notes"
1995,"Sonoma","Cabernet",95,NA,NA,95,127.05,1620.875,NA,NA
1996,"Sonoma","Cabernet",93,NA,NA,93,186.65,1706.0875,NA,NA
1997,"Sonoma","Cabernet",96,NA,NA,96,58.35,1817.825,NA,NA
1998,"Sonoma","Cabernet",85,NA,NA,85,160.375,1343.8375,NA,NA
1999,"Sonoma","Cabernet",93,NA,NA,93,113.25,1446.675,NA,NA
2000,"Sonoma","Cabernet",85,NA,NA,85,85.05,1699.6,NA,NA
2001,"Sonoma","Cabernet",98,NA,NA,98,25.45,1714.5125,NA,NA
2002,"Sonoma","Cabernet",93,NA,NA,93,40.33,1665.2375,NA,NA
2003,"Sonoma","Cabernet",90,NA,NA,90,199.25,1692.4,NA,NA
2004,"Sonoma","Cabernet",90,NA,NA,90,36.7333333333333,1749.89375,NA,NA
2005,"Sonoma","Cabernet",95,NA,NA,95,181.69,1562.3125,NA,NA
2006,"Sonoma","Cabernet",90,NA,NA,90,264.5,1687.83333333333,NA,NA
2007,"Sonoma","Cabernet",95,NA,NA,95,56.55,1718.75,NA,NA
2008,"Sonoma","Cabernet",92,NA,NA,92,11.4,1700.66,NA,NA
2009,"Sonoma","Cabernet",89,NA,NA,89,73.4,1580.1725,NA,NA
2010,"Sonoma","Cabernet",89,NA,NA,89,178.55,1443.9875,NA,NA
2011,"Sonoma","Cabernet",89,NA,NA,89,187.440833333333,1516.975,NA,NA
2012,"Sonoma","Cabernet",95,NA,NA,95,160.461666666667,1605.575,NA,NA
2013,"Sonoma","Cabernet",95,NA,NA,95,76.1,1819.45,NA,NA
2014,"Sonoma","Cabernet",94,NA,NA,94,116.35,1836.6,NA,NA
2015,"Sonoma","Cabernet",95,NA,NA,95,55.15,1821.95,NA,NA
2016,"Sonoma","Cabernet",95,NA,NA,95,39.65,1722.225,NA,NA
2017,"Sonoma","Cabernet",90,NA,NA,90,84.55,1856.925,NA,NA
2018,"Sonoma","Cabernet",94,NA,NA,94,80.4,1679.25,NA,NA
1995,"Sonoma","Chardonnay",NA,92,NA,92,229.05,1548.35,NA,NA
1996,"Sonoma","Chardonnay",95,90,NA,92.5,186.65,1668.3625,NA,NA
1997,"Sonoma","Chardonnay",95,94,NA,94.5,75.75,1783.225,NA,NA
1998,"Sonoma","Chardonnay",86,87,NA,86.5,191.525,1322.7875,NA,NA
1999,"Sonoma","Chardonnay",94,88,NA,91,131.55,1389.575,NA,NA
2000,"Sonoma","Chardonnay",89,88,NA,88.5,84.15,1649.4,NA,NA
2001,"Sonoma","Chardonnay",94,90,NA,92,25.45,1702.5125,NA,NA
2002,"Sonoma","Chardonnay",99,90,NA,94.5,65.83,1577.25,NA,NA
2003,"Sonoma","Chardonnay",88,85,NA,86.5,212.85,1620.7875,NA,NA
2004,"Sonoma","Chardonnay",99,85,NA,92,34.5333333333333,1747.96875,NA,NA
2005,"Sonoma","Chardonnay",95,86,NA,90.5,251.89,1517.1375,NA,NA
2006,"Sonoma","Chardonnay",94,86,NA,90,302.3,1609.98333333333,NA,NA
2007,"Sonoma","Chardonnay",96,90,NA,93,51.7,1712.1,NA,NA
2008,"Sonoma","Chardonnay",91,87,NA,89,11.4,1666.675,NA,NA
2009,"Sonoma","Chardonnay",95,88,NA,91.5,83.75,1559.8725,NA,NA
2010,"Sonoma","Chardonnay",92,87,NA,89.5,178.55,1419.0125,NA,NA
2011,"Sonoma","Chardonnay",87,87,NA,87,354.189166666667,1420.5,NA,NA
2012,"Sonoma","Chardonnay",93,91,NA,92,212.159166666667,1552.55,NA,NA
2013,"Sonoma","Chardonnay",93,91,NA,92,67.1,1769.125,NA,NA
2014,"Sonoma","Chardonnay",92,92,NA,92,112.8,1794.4875,NA,NA
2015,"Sonoma","Chardonnay",90,90,NA,90,54.35,1782.675,NA,NA
2016,"Sonoma","Chardonnay",90,94,NA,92,65.8,1672.4,NA,NA
2017,"Sonoma","Chardonnay",93,90,NA,91.5,154.55,1832.725,NA,NA
2018,"Sonoma","Chardonnay",95,93,NA,94,161.45,1614.375,NA,NA
1996,"Sonoma","Merlot",82,NA,NA,82,186.65,1626.3875,NA,NA
1997,"Sonoma","Merlot",86,NA,NA,86,58.35,1729.2,NA,NA
1998,"Sonoma","Merlot",79,NA,NA,79,160.375,1273.1125,NA,NA
1999,"Sonoma","Merlot",81,NA,NA,81,113,1377.025,NA,NA
2000,"Sonoma","Merlot",80,NA,NA,80,84.15,1598.675,NA,NA
2001,"Sonoma","Merlot",83,NA,NA,83,25.45,1649.2875,NA,NA
2002,"Sonoma","Merlot",81,NA,NA,81,40.33,1561.775,NA,NA
2003,"Sonoma","Merlot",80,NA,NA,80,199.25,1591.1625,NA,NA
2004,"Sonoma","Merlot",88,NA,NA,88,34.5333333333333,1672.24375,NA,NA
2005,"Sonoma","Merlot",89,NA,NA,89,181.69,1493.6875,NA,NA
2006,"Sonoma","Merlot",85,NA,NA,85,264.5,1600.58333333333,NA,NA
2007,"Sonoma","Merlot",85,NA,NA,85,51.7,1656.8,NA,NA
2008,"Sonoma","Merlot",85,NA,NA,85,11.4,1638.475,NA,NA
2009,"Sonoma","Merlot",86,NA,NA,86,73.4,1526.2975,NA,NA
2010,"Sonoma","Merlot",84,NA,NA,84,178.55,1368.4625,NA,NA
