"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_year","var_gdd_avg_year","Descriptions_WS_WA","Notes"
1991,"Napa","Cabernet",91,NA,NA,91,64.7,1451.225,"Big crop, ripe and complex; a star early on, only to be eclipsed by others this decade",NA
1992,"Napa","Cabernet",93,NA,NA,93,52.3,1541.5625,"Fine growing season led to uniformly rich, fleshy, supple and balanced wines",NA
1993,"Napa","Cabernet",88,NA,NA,88,124.8875,1632.71875,"Just off the pace, with well-balanced, supple wines; a few stars",NA
1994,"Napa","Cabernet",97,NA,NA,97,88.9375,1577.3125,"A showy year all around; ripe, complex and fleshy, with excellent depth",NA
1995,"Napa","Cabernet",97,NA,NA,97,127.05,1620.875,"Surprisingly fine year, with wines marked by great flavors, balance and structure",NA
1996,"Napa","Cabernet",96,NA,NA,96,186.65,1706.0875,"A sleeper, with a remarkable number of compelling wines; warm year with fine concentration and depth",NA
1997,"Napa","Cabernet",99,NA,NA,99,58.35,1817.825,"Huge crop of ripe, opulent, fleshy, concentrated wines, from near-perfect weather; super in Sonoma, too",NA
1998,"Napa","Cabernet",84,NA,NA,84,160.375,1343.8375,"Cool, damp year with mostly green, herbal wines marked by gritty tannins; few memorable bottles",NA
1999,"Napa","Cabernet",97,NA,NA,97,113.25,1446.675,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy",NA
2000,"Napa","Cabernet",85,NA,NA,85,85.05,1699.6,"Mixed and a bit green overall, but some stellar wines that may be overlooked and undervalued",NA
2001,"Napa","Cabernet",93,NA,NA,93,25.45,1714.5125,"Excellent weather; many stunning wines but also a few disappointments",NA
2002,"Napa","Cabernet",93,NA,NA,93,40.33,1665.2375,"Superb in Napa; dense and rich, rivaling 2001 for depth and complexity",NA
2003,"Napa","Cabernet",85,NA,NA,85,199.25,1692.4,"Uneven ripeness; austere and tannic in style. More like 2000 than 2001 or 2002",NA
2004,"Napa","Cabernet",95,NA,NA,95,36.7333333333333,1749.89375,"Small crop of exceptional quality; ripe, elegant, concentrated and harmonious",NA
